direction,training_generalized_eigenvalue,heldout_generalized_eigenvalue
377,1.2683188307951853e-15,1.3212223394303663e-15
378,1.2577347569832965e-15,1.3069244675622523e-15
379,1.2523728178752303e-15,1.2921881178271796e-15
380,1.2353261104905609e-15,1.2865243541192374e-15
381,1.2250855645110314e-15,1.2423208932324117e-15
382,1.2150590485413386e-15,1.2405542773389117e-15
383,1.2142163698911227e-15,1.2198527260299273e-15
384,1.208336477826777e-15,1.2051302891091185e-15
385,1.1928407512931995e-15,1.1932475965835632e-15
386,1.1717485351146475e-15,1.1820639788951445e-15
387,1.1504023842636239e-15,1.1685985966237553e-15
388,1.1325964522058954e-15,1.162706876356701e-15
389,1.1264958118498343e-15,1.142506192481264e-15
390,1.1227061564835306e-15,1.1286082360744364e-15
391,1.1049864919381747e-15,1.1183561791073575e-15
392,1.0956798123336664e-15,1.1114660822082763e-15
393,1.0691240901026063e-15,1.096738195485222e-15
394,1.0564067828511708e-15,1.0764826708225463e-15
395,1.0542368195751315e-15,1.0734932213645612e-15
396,1.046210190714817e-15,1.0642169149184524e-15
397,1.0361584185863091e-15,1.0529639682847278e-15
398,1.0353697427186578e-15,1.047790521782144e-15
399,1.0250645588669357e-15,1.0324379661929693e-15
400,1.0064143174191443e-15,1.0202624282461753e-15
401,9.970675778040172e-16,1.0121721624851046e-15
402,9.820999752485302e-16,9.983818226827094e-16
403,9.751439931456229e-16,9.848560783422286e-16
404,9.57093121775736e-16,9.752426458489074e-16
405,9.549594973819181e-16,9.651712918602137e-16
406,9.481570714991658e-16,9.402148191688613e-16
407,9.268014627385244e-16,9.312057522679463e-16
408,9.205293133825102e-16,9.217890759577167e-16
409,9.103709505227178e-16,9.136901429529896e-16
410,8.978112331000025e-16,8.984316622484453e-16
411,8.870700216818524e-16,8.888264293641173e-16
412,8.859046454694467e-16,8.780687306322157e-16
413,8.684098152229406e-16,8.66431111659749e-16
414,8.649781399291677e-16,8.583798259877082e-16
415,8.474895346208085e-16,8.484699633689594e-16
416,8.402641100670982e-16,8.361623881079318e-16
417,8.331088392576233e-16,8.24148707990098e-16
418,8.256486482951717e-16,8.18425819009893e-16
419,8.179849939427778e-16,8.123794999428358e-16
420,8.113836250908773e-16,7.971315809843367e-16
421,7.997782442331521e-16,7.877573418351386e-16
422,7.919717875585134e-16,7.816202135150833e-16
423,7.880028412691206e-16,7.684959350693533e-16
424,7.816824474412607e-16,7.655777729222556e-16
425,7.760159497887594e-16,7.526100916062172e-16
426,7.570204787977999e-16,7.377659470469864e-16
427,7.442644779364928e-16,7.237684636076001e-16
428,7.323088744225621e-16,7.073486581133258e-16
429,7.216582480414359e-16,7.042760236600961e-16
430,7.184490067653283e-16,7.0169228364771e-16
431,7.096597954904969e-16,6.898840921811284e-16
432,7.055555390930615e-16,6.801310803501001e-16
433,7.009935164803893e-16,6.763569876987417e-16
434,6.928574145809657e-16,6.716486284681699e-16
435,6.831416907153268e-16,6.560192062232033e-16
436,6.691842702553155e-16,6.439398142656246e-16
437,6.591447381227843e-16,6.28821949664943e-16
438,6.563607133191378e-16,6.260198268407328e-16
439,6.451225098752565e-16,6.1616974550731e-16
440,6.334908270492363e-16,5.992293106725603e-16
441,6.257330108916726e-16,5.902448983487793e-16
442,6.239156148683059e-16,5.841613383325796e-16
443,6.205477726816022e-16,5.733909838372087e-16
444,6.023139118286031e-16,5.688605043526144e-16
445,5.937087485267797e-16,5.625391871195041e-16
446,5.902261014325922e-16,5.474087547336688e-16
447,5.855749231594509e-16,5.461027241527594e-16
448,5.838360641976187e-16,5.377708167195989e-16
449,5.723926694655109e-16,5.30065469616846e-16
450,5.653610078380784e-16,5.18781170038006e-16
451,5.644464006856304e-16,5.176761516548821e-16
452,5.51598481526762e-16,5.042658999506478e-16
453,5.414274228389035e-16,4.978840074247751e-16
454,5.342879044649329e-16,4.868910845998846e-16
455,5.296294093424767e-16,4.822738401246109e-16
456,5.187970826721278e-16,4.693922350519563e-16
457,5.068264916623331e-16,4.628616197811309e-16
458,4.959441893400151e-16,4.578146445623222e-16
459,4.898651790939129e-16,4.486852717389634e-16
460,4.855556786933749e-16,4.431240927565351e-16
461,4.694042086660021e-16,4.3715649811949324e-16
462,4.63077483044227e-16,4.3296892358723626e-16
463,4.614989349125918e-16,4.231182108983791e-16
464,4.547155553515773e-16,4.1517247223122804e-16
465,4.468305942632872e-16,4.074495651246202e-16
466,4.3825924526340025e-16,4.0066242097644147e-16
467,4.365628908898894e-16,3.8393324863971307e-16
468,4.2385276597636246e-16,3.786561868772461e-16
469,4.1103278335013167e-16,3.6836834350029043e-16
470,4.0520835597047555e-16,3.6557951539532754e-16
471,4.006653729566706e-16,3.5069158998727113e-16
472,3.942677860416349e-16,3.452194657057315e-16
473,3.8623020344589213e-16,3.3510482777070125e-16
474,3.8317990283120977e-16,3.318665470766673e-16
475,3.781829219716785e-16,3.221620143207745e-16
476,3.6783442615495596e-16,3.117414159630227e-16
477,3.604360494936866e-16,3.100874437086181e-16
478,3.526091392690991e-16,3.011657833929127e-16
479,3.5054943379140963e-16,2.996960275082826e-16
480,3.466610220595027e-16,2.947808021252097e-16
481,3.416719429311692e-16,2.7664991000028536e-16
482,3.379514254163795e-16,2.738306036833036e-16
