pert_id,rna_plate,reciprocal_rank,top1_correct,top5_hit,cohort,method
BRD-K16478699,CPC013_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC013_MCF7_6H_X2,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC013_MCF7_6H_X3.A2,0.029411764705882353,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC013_MCF7_6H_X3.A2,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC013_MCF7_6H_X5,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC013_MCF7_6H_X5,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC014_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC014_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC014_MCF7_6H_X1,0.1111111111111111,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC014_MCF7_6H_X2,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC014_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC014_MCF7_6H_X2,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC014_MCF7_6H_X3,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC014_MCF7_6H_X3,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC014_MCF7_6H_X4,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC014_MCF7_6H_X4,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC014_MCF7_6H_X4,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC014_MCF7_6H_X5,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC014_MCF7_6H_X5,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC014_MCF7_6H_X5,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC015_MCF7_6H_X1,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC015_MCF7_6H_X1,0.03225806451612903,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC015_MCF7_6H_X1,0.03125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC015_MCF7_6H_X1,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC015_MCF7_6H_X1,0.03125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC015_MCF7_6H_X1,0.1111111111111111,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC015_MCF7_6H_X1,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC015_MCF7_6H_X1,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC015_MCF7_6H_X1,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38197229,CPC015_MCF7_6H_X1,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC015_MCF7_6H_X1,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC015_MCF7_6H_X1,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC015_MCF7_6H_X1,0.0625,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC015_MCF7_6H_X1,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC015_MCF7_6H_X1,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K77695569,CPC015_MCF7_6H_X1,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC015_MCF7_6H_X1,0.125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92049597,CPC015_MCF7_6H_X1,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92093830,CPC015_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K95237249,CPC015_MCF7_6H_X1,0.07142857142857142,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC015_MCF7_6H_X2,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC015_MCF7_6H_X2,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC015_MCF7_6H_X2,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC015_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
