pert_id,rna_plate,average_precision,top1_correct,top5_hit,split,method
BRD-K39987650,CPC015_MCF7_6H_X2,0.5981714592665456,1.0,1.0,validation,filzen_continuous
BRD-K46937689,CPC015_MCF7_6H_X2,0.07561634451069171,0.0,1.0,validation,filzen_continuous
BRD-K57569181,CPC015_MCF7_6H_X2,0.031642398225394386,0.0,0.0,validation,filzen_continuous
BRD-K68143200,CPC015_MCF7_6H_X2,0.033039389578184274,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC015_MCF7_6H_X2,0.10725724761988141,1.0,1.0,validation,filzen_continuous
BRD-K85119730,CPC015_MCF7_6H_X2,0.07332625737426389,0.0,0.0,validation,filzen_continuous
BRD-A06352418,CPC015_MCF7_6H_X3,0.0496533374028838,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC015_MCF7_6H_X3,0.04614538743349278,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC015_MCF7_6H_X3,0.059881116107732474,0.0,0.0,validation,filzen_continuous
BRD-A42759514,CPC015_MCF7_6H_X3,0.05860434380888662,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC015_MCF7_6H_X3,0.16370910005365766,0.0,1.0,validation,filzen_continuous
BRD-A97701745,CPC015_MCF7_6H_X3,0.06691627415908592,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC015_MCF7_6H_X3,0.03739456918334147,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC015_MCF7_6H_X3,0.1392728327993944,1.0,1.0,validation,filzen_continuous
BRD-K39987650,CPC015_MCF7_6H_X3,0.06306115190372298,0.0,0.0,validation,filzen_continuous
BRD-K46937689,CPC015_MCF7_6H_X3,0.04578936509357472,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC015_MCF7_6H_X3,0.03195711989676999,0.0,0.0,validation,filzen_continuous
BRD-K68143200,CPC015_MCF7_6H_X3,0.04014137553455892,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC015_MCF7_6H_X3,0.061081420018094634,0.0,0.0,validation,filzen_continuous
BRD-K85119730,CPC015_MCF7_6H_X3,0.1020507462975459,0.0,1.0,validation,filzen_continuous
BRD-A06352418,CPC015_MCF7_6H_X4,0.034474677503413015,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC015_MCF7_6H_X4,0.03976130412287369,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC015_MCF7_6H_X4,0.07699627321883586,0.0,1.0,validation,filzen_continuous
BRD-A42759514,CPC015_MCF7_6H_X4,0.06443811884389951,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC015_MCF7_6H_X4,0.0401395531856413,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC015_MCF7_6H_X4,0.14598444463467808,1.0,1.0,validation,filzen_continuous
BRD-K25224017,CPC015_MCF7_6H_X4,0.04512548195455173,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC015_MCF7_6H_X4,0.022244693672009635,0.0,0.0,validation,filzen_continuous
BRD-K39987650,CPC015_MCF7_6H_X4,0.015080735349379242,0.0,0.0,validation,filzen_continuous
BRD-K46937689,CPC015_MCF7_6H_X4,0.061476785172145366,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC015_MCF7_6H_X4,0.07084141282532316,0.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC015_MCF7_6H_X4,0.04256997215634944,0.0,1.0,validation,filzen_continuous
BRD-K79131256,CPC015_MCF7_6H_X4,0.06701350345531935,0.0,0.0,validation,filzen_continuous
BRD-K85119730,CPC015_MCF7_6H_X4,0.0564325341107477,0.0,0.0,validation,filzen_continuous
BRD-A06352418,CPC015_MCF7_6H_X5,0.0370869144791414,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC015_MCF7_6H_X5,0.033972308089988815,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC015_MCF7_6H_X5,0.05864566653946634,0.0,0.0,validation,filzen_continuous
BRD-A42759514,CPC015_MCF7_6H_X5,0.10448062538050935,0.0,1.0,validation,filzen_continuous
BRD-A66559694,CPC015_MCF7_6H_X5,0.01815512019351441,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC015_MCF7_6H_X5,0.052800712898953106,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC015_MCF7_6H_X5,0.04618599342273079,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC015_MCF7_6H_X5,0.04212852474202335,0.0,0.0,validation,filzen_continuous
BRD-K39987650,CPC015_MCF7_6H_X5,0.01668016550416619,0.0,0.0,validation,filzen_continuous
BRD-K46937689,CPC015_MCF7_6H_X5,0.10018717604648274,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC015_MCF7_6H_X5,0.04202859471389487,0.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC015_MCF7_6H_X5,0.02537976664806092,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC015_MCF7_6H_X5,0.061059285207498294,0.0,0.0,validation,filzen_continuous
BRD-K85119730,CPC015_MCF7_6H_X5,0.033011446420637705,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC016_MCF7_6H_X1,0.021018108627409292,0.0,0.0,validation,filzen_continuous
BRD-K28307902,CPC016_MCF7_6H_X1,0.12528443870572847,1.0,1.0,validation,filzen_continuous
BRD-K36927236,CPC016_MCF7_6H_X1,0.029990996284745004,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC016_MCF7_6H_X2,0.05281113358029099,0.0,0.0,validation,filzen_continuous
BRD-K28307902,CPC016_MCF7_6H_X2,0.07209899857038417,0.0,1.0,validation,filzen_continuous
BRD-K36927236,CPC016_MCF7_6H_X2,0.04390749895095218,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC016_MCF7_6H_X5,0.020159652311111997,0.0,0.0,validation,filzen_continuous
BRD-K28307902,CPC016_MCF7_6H_X5,0.03050505166634451,0.0,0.0,validation,filzen_continuous
BRD-K36927236,CPC016_MCF7_6H_X5,0.09760661283091442,0.0,1.0,validation,filzen_continuous
BRD-A29734509,CPC017_MCF7_6H_X1,0.08899389110812914,0.0,1.0,validation,filzen_continuous
BRD-K30240666,CPC017_MCF7_6H_X1,0.0295809247951203,0.0,0.0,validation,filzen_continuous
BRD-K60762818,CPC017_MCF7_6H_X1,0.04194329923118071,0.0,0.0,validation,filzen_continuous
BRD-K68507560,CPC017_MCF7_6H_X1,0.04144314963056974,0.0,0.0,validation,filzen_continuous
BRD-K86301799,CPC017_MCF7_6H_X1,0.12345449764478775,1.0,1.0,validation,filzen_continuous
BRD-A29734509,CPC017_MCF7_6H_X2,0.0725110683747129,0.0,1.0,validation,filzen_continuous
BRD-K30240666,CPC017_MCF7_6H_X2,0.030208901591511652,0.0,0.0,validation,filzen_continuous
BRD-K60762818,CPC017_MCF7_6H_X2,0.04419780770302644,0.0,0.0,validation,filzen_continuous
