direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
159,8.943144316340193e-15,1.0,8.943144316340114e-15
160,8.78219036133576e-15,1.0,8.782190361335683e-15
161,8.761572996009094e-15,1.0,8.761572996009018e-15
162,8.65788204946414e-15,1.0,8.657882049464064e-15
163,8.526094278081156e-15,1.0,8.526094278081084e-15
164,8.521232469439857e-15,1.0,8.521232469439784e-15
165,8.511263963855073e-15,1.0,8.511263963855e-15
166,8.509013024925738e-15,1.0,8.509013024925666e-15
167,8.36513398388199e-15,1.0,8.365133983881919e-15
168,8.205072760237047e-15,1.0,8.20507276023698e-15
169,8.193493787418129e-15,1.0,8.193493787418061e-15
170,8.191878885797762e-15,1.0,8.191878885797694e-15
171,8.071193900549981e-15,1.0,8.071193900549917e-15
172,7.892539856685593e-15,1.0,7.89253985668553e-15
173,7.883304289955455e-15,1.0,7.883304289955392e-15
174,7.79588561356309e-15,1.0,7.79588561356303e-15
175,7.780094575796381e-15,1.0,7.780094575796321e-15
176,7.742928447602663e-15,1.0,7.742928447602603e-15
177,7.62327439164123e-15,1.0,7.623274391641174e-15
178,7.46513497050601e-15,1.0,7.465134970505954e-15
179,7.455637037559902e-15,1.0,7.455637037559845e-15
180,7.354120023668724e-15,1.0,7.35412002366867e-15
181,7.063928949525002e-15,1.0,7.063928949524952e-15
182,7.0550430725533895e-15,1.0,7.055043072553339e-15
183,7.0455535987685365e-15,1.0,7.045553598768487e-15
184,7.004446534713874e-15,1.0,7.0044465347138244e-15
185,6.904829015454658e-15,1.0,6.90482901545461e-15
186,6.844416510856383e-15,1.0,6.844416510856336e-15
187,6.774562942516733e-15,1.0,6.774562942516687e-15
188,6.6817806927641514e-15,1.0,6.681780692764107e-15
189,6.588332239902466e-15,1.0,6.588332239902422e-15
190,6.508898512559271e-15,1.0,6.508898512559229e-15
191,6.4904718722019605e-15,1.0,6.490471872201919e-15
192,6.4779413141442826e-15,1.0,6.477941314144241e-15
