gene_id,neural_weight_norm,lda_loading_norm,neural_rank,lda_rank,combined_rank
23386,0.28100783,0.15759558273298357,644.0,557.0,600.5
10318,0.26747012,0.17291264570212878,795.0,407.0,601.0
5708,0.29018524,0.14677492563492403,533.0,670.0,601.5
4780,0.27860728,0.15929804274931403,669.0,535.0,602.0
9276,0.29175118,0.14405796565990253,507.0,698.0,602.5
7027,0.2597738,0.18217340906457813,861.0,345.0,603.0
51719,0.3046581,0.11922646053605435,316.0,891.0,603.5
2946,0.29612935,0.13681730628250316,444.0,765.0,604.5
91137,0.28178817,0.15518465230389591,637.0,574.0,605.5
388650,0.30127272,0.1268933966938027,370.0,841.0,605.5
5770,0.25595593,0.1849075263833097,886.0,328.0,607.0
3066,0.2506902,0.18945559182506844,923.0,294.0,608.5
780,0.27323562,0.16540683454966898,741.0,476.0,608.5
6461,0.27984822,0.15619130744764217,656.0,566.0,611.0
54499,0.2891611,0.14603660914271974,547.0,678.0,612.5
91949,0.29174364,0.14206695895855856,508.0,718.0,613.0
10972,0.27432755,0.16309190888833644,729.0,497.0,613.0
5743,0.29554522,0.13480500765209688,451.0,781.0,616.0
9133,0.2764407,0.15926608375153545,696.0,537.0,616.5
5827,0.2703899,0.1676854019377902,771.0,462.0,616.5
1459,0.28263345,0.1518685019530064,624.0,610.0,617.0
7994,0.2517219,0.1874541123030102,919.0,316.0,617.5
55148,0.29206815,0.14046389077741217,501.0,734.0,617.5
178,0.2754259,0.16064457310665758,715.0,521.0,618.0
1666,0.28476742,0.1487028076585938,591.0,648.0,619.5
9690,0.25581238,0.1800280422945895,888.0,353.0,620.5
9517,0.25998482,0.1762933378774778,859.0,383.0,621.0
994,0.28349897,0.1498968388725325,607.0,635.0,621.0
11151,0.27076727,0.16534004809384592,765.0,478.0,621.5
2956,0.27349344,0.16225362952890382,739.0,505.0,622.0
11011,0.2856226,0.14720105996856916,585.0,661.0,623.0
207,0.30169407,0.12038221283977034,363.0,886.0,624.5
23335,0.30319518,0.11543750561630031,337.0,916.0,626.5
7867,0.28921127,0.142806203938766,545.0,709.0,627.0
1891,0.26412767,0.17079004172180534,827.0,427.0,627.0
835,0.3047784,0.10831721476797203,313.0,942.0,627.5
55256,0.28288195,0.14959196709334163,617.0,639.0,628.0
2961,0.29579908,0.13120753728283133,450.0,810.0,630.0
23530,0.30198503,0.11744693436043825,359.0,902.0,630.5
29103,0.28754064,0.14432948733722162,566.0,695.0,630.5
5359,0.29940668,0.12303396112591376,396.0,866.0,631.0
51375,0.2692528,0.16505088725580727,781.0,481.0,631.0
8804,0.29412714,0.13269674518951288,464.0,804.0,634.0
1123,0.29256302,0.13518222122284557,492.0,779.0,635.5
4651,0.25396308,0.1779380017583246,900.0,372.0,636.0
5921,0.26363584,0.16949626098869405,832.0,443.0,637.5
23325,0.29216826,0.13578705747484454,500.0,776.0,638.0
9143,0.2877627,0.14225280482661612,564.0,714.0,639.0
6603,0.286808,0.14281722599405886,573.0,708.0,640.5
9455,0.30239728,0.11190787971760806,353.0,929.0,641.0
5331,0.29365748,0.13028651406078892,470.0,816.0,643.0
64429,0.3021277,0.11141859166503335,357.0,933.0,645.0
7159,0.27357903,0.15743003093807828,736.0,560.0,648.0
6284,0.27662477,0.15271981055865025,694.0,604.0,649.0
55556,0.27172175,0.15876809872284925,754.0,545.0,649.5
11188,0.25601223,0.17190556549240993,885.0,417.0,651.0
22841,0.29801273,0.12034179085457336,415.0,887.0,651.0
10049,0.29954183,0.11675268759288265,394.0,909.0,651.5
8243,0.25483316,0.17291224013198583,897.0,408.0,652.5
2356,0.27639434,0.1521005792067363,699.0,608.0,653.5
392,0.25863475,0.16979355433066667,866.0,441.0,653.5
9868,0.2676145,0.16108691504298922,792.0,515.0,653.5
896,0.2519328,0.17428510871895841,917.0,396.0,656.5
2042,0.3017811,0.10319716554489065,362.0,953.0,657.5
4927,0.27550212,0.15270929658568838,711.0,605.0,658.0
2109,0.29147124,0.13151117801860784,510.0,808.0,659.0
22796,0.2606526,0.16641477772420424,850.0,471.0,660.5
10434,0.25444826,0.17149150661936888,899.0,422.0,660.5
93487,0.27293488,0.15455284660266125,744.0,579.0,661.5
79187,0.26727596,0.16021734566346152,797.0,526.0,661.5
22908,0.27921173,0.14729788134436533,663.0,660.0,661.5
10818,0.2960639,0.12125770143579752,446.0,878.0,662.0
501,0.26478824,0.16259656587751165,821.0,504.0,662.5
2195,0.2532265,0.17166502359803668,907.0,418.0,662.5
4846,0.30155793,0.09902541240804233,364.0,962.0,663.0
10644,0.2650432,0.16201243646271127,819.0,508.0,663.5
57215,0.29317835,0.12445374013722278,476.0,855.0,665.5
4690,0.28276002,0.14270761734352058,622.0,710.0,666.0
211,0.23871528,0.17759856100438787,968.0,376.0,672.0
23149,0.26910394,0.1562890116624854,782.0,564.0,673.0
51382,0.29652464,0.11661643303804342,437.0,910.0,673.5
27109,0.29597247,0.1179822863751746,448.0,899.0,673.5
23011,0.26977757,0.1553708298540028,777.0,573.0,675.0
7165,0.29663226,0.11402726902171295,434.0,920.0,677.0
23131,0.28971145,0.12975606293308056,537.0,821.0,679.0
6390,0.27645525,0.14699179615539318,695.0,664.0,679.5
2690,0.27537796,0.14903221599899472,717.0,645.0,681.0
200734,0.29102972,0.12504741214309992,515.0,849.0,682.0
5440,0.28487808,0.13541143783510393,588.0,777.0,682.5
54850,0.27490216,0.14958748861884977,725.0,640.0,682.5
